time,ax,ay,az
87990,3.5595458977676384,-2.865596004843836,-0.0
88000,3.5783012537260266,-2.8399651714723615,-0.0
88010,3.596871936572517,-2.814223667180548,-0.0
88020,3.6152574715710895,-2.7883728114417203,-0.0
88030,3.6334573930204925,-2.7624139228834825,-0.0
88040,3.651471244193398,-2.7363483192361597,-0.0
88050,3.669298577275464,-2.710177317282306,-0.0
88060,3.6869389533044195,-2.683902232807332,-0.0
88070,3.7043919421090825,-2.6575243805511892,-0.0
88080,3.721657122248387,-2.631045074161133,-0.0
88090,3.7387340809504286,-2.6044656261455605,-0.0
88100,3.7556224140515213,-2.5777873478288997,-0.0
88110,3.7723217259352944,-2.551011549307557,-0.0
88120,3.7888316294718316,-2.5241395394069057,-0.0
88130,3.805151745956876,-2.4971726256393088,-0.0
88140,3.8212817050511196,-2.470112114163187,-0.0
88150,3.8372211447195648,-2.4429593097430926,-0.0
88160,3.852969711170992,-2.4157155157108026,-0.0
88170,3.8685270587975444,-2.3883820339274253,-0.0
88180,3.883892850114443,-2.360960164746505,-0.0
88190,3.899066755699817,-2.3334512069781006,-0.0
88200,3.914048454134705,-2.3058564578538734,-0.0
88210,3.928837631943215,-2.2781772129931306,-0.0
88220,3.9434339835328465,-2.2504147663698406,-0.0
88230,3.9578372111350024,-2.222570410280605,-0.0
88240,3.9720470247456965,-2.1946454353135834,-0.0
88250,3.9860631420664747,-2.1666411303183537,-0.0
88260,3.999885288445537,-2.1385587823767085,-0.0
88270,4.013513196819093,-2.1103996767743674,-0.0
88280,4.026946607652977,-2.0821650969736187,-0.0
88290,4.040185268884476,-2.053856324586849,-0.0
88300,4.053228935864442,-2.025474639350981,-0.0
88310,4.066077371299668,-1.9970213191027943,-0.0
88320,4.0787303451955355,-1.9684976397551268,-0.0
88330,4.091187634798968,-1.939904875273946,-0.0
88340,4.103449024541653,-1.9112442976562745,-0.0
88350,4.115514305983601,-1.8825171769089775,-0.0
88360,4.127383277757009,-1.8537247810283815,-0.0
88370,4.139055745510442,-1.82486837598073,-0.0
88380,4.150531521853367,-1.7959492256834686,-0.0
88390,4.161810426301004,-1.7669685919873277,-0.0
88400,4.172892285219562,-1.737927734659226,-0.0
88410,4.183776931771806,-1.708827911365963,-0.0
88420,4.194464205863007,-1.679670377658694,-0.0
88430,4.204953954087251,-1.650456386958177,-0.0
88440,4.215246029674174,-1.6211871905408057,-0.0
88450,4.225340292436023,-1.5918640375253688,-0.0
88460,4.235236608715194,-1.562488174860589,-0.0
88470,4.244934851332091,-1.5330608473133664,-0.0
88480,4.254434899533488,-1.5035832974577814,-0.0
88490,4.2637366389412295,-1.4740567656647854,-0.0
88500,4.272839961501424,-1.444482490092627,-0.0
88510,4.281744765434031,-1.4148617066779536,-0.0
88520,4.290450955182912,-1.385195649127621,-0.0
88530,4.298958441366318,-1.3554855489111652,-0.0
88540,4.307267140727841,-1.325732635253957,-0.0
88550,4.315376976087802,-1.295938135131002,-0.0
88560,4.323287876295143,-1.2661032732614046,-0.0
88570,4.33099977617977,-1.2362292721034642,-0.0
88580,4.338512616505366,-1.2063173518503982,-0.0
88590,4.3458263439227,-1.176368730426688,-0.0
88600,4.352940910923443,-1.146384623485042,-0.0
88610,4.359856275794432,-1.1163662444039455,-0.0
88620,4.366572402572483,-1.0863148042858097,-0.0
88630,4.373089260999676,-1.0562315119557024,-0.0
88640,4.379406826479176,-1.0261175739606423,-0.0
88650,4.385525080031539,-0.99597419456946,-0.0
88660,4.391444008251573,-0.9658025757732097,-0.0
88670,4.397163603265687,-0.9356039172861177,-0.0
88680,4.402683862689799,-0.9053794165470668,-0.0
88690,4.408004789587768,-0.8751302687216014,-0.0
88700,4.413126392430344,-0.8448576667044404,-0.0
